2025-03-03 19:23:21 | Illegal transaction detected on dark web forum | 0.8358422517776489
2025-03-03 19:23:21 | Normal business conversation | 0.8358473777770996
2025-03-03 19:23:21 | Suspicious cryptocurrency exchange | 0.8358522057533264
2025-03-03 19:23:21 | Malware attack reported in underground hacking group | 0.8358400464057922
2025-03-03 19:23:21 | Cyber attack is being planned | 0.8358500003814697
2025-03-03 19:23:21 | Illegal drugs being sold and purchased | 0.8358664512634277
2025-03-03 19:23:21 | Human-Traffficking taking on dark web forum | 0.8358500003814697
2025-03-04 19:23:21 | Predicted threat | 7
2025-03-05 19:23:21 | Predicted threat | 7
2025-03-06 19:23:21 | Predicted threat | 7
2025-03-07 19:23:21 | Predicted threat | 7
2025-03-08 19:23:21 | Predicted threat | 7
2025-03-09 19:23:21 | Predicted threat | 7
2025-03-10 19:23:21 | Predicted threat | 7
2025-03-11 19:23:21 | Predicted threat | 0
2025-03-12 19:23:21 | Predicted threat | -1
2025-03-13 19:23:21 | Predicted threat | -1
2025-03-14 19:23:21 | Predicted threat | -2
2025-03-15 19:23:21 | Predicted threat | -2
2025-03-16 19:23:21 | Predicted threat | -3
2025-03-17 19:23:21 | Predicted threat | -3
2025-03-03 19:41:46 | Illegal transaction detected on dark web forum | 0.8358422517776489
2025-03-03 19:41:46 | Normal business conversation | 0.8358473777770996
2025-03-03 19:41:46 | Suspicious cryptocurrency exchange | 0.8358522057533264
2025-03-03 19:41:46 | Malware attack reported in underground hacking group | 0.8358400464057922
2025-03-03 19:41:46 | Illegal drugs being ols and purchased | 0.8358582258224487
2025-03-03 19:41:46 | Human-trafficking taking place on dark web | 0.8358498811721802
2025-03-18 19:23:21 | Predicted threat | 0
2025-03-19 19:23:21 | Predicted threat | 0
2025-03-20 19:23:21 | Predicted threat | -1
2025-03-21 19:23:21 | Predicted threat | -1
2025-03-22 19:23:21 | Predicted threat | -1
2025-03-23 19:23:21 | Predicted threat | -2
2025-03-24 19:23:21 | Predicted threat | -2
